google_score,amazon_score,clarifai_score,class,race,gender
0.838782132,99.13100433,0.94837296,Female_Black,Black,Female
0.685301483,88.98878479,0.970128536,Female_Black,Black,Female
0.722472727,90.81381989,0.980872869,Female_Black,Black,Female
0.690275431,93.92289734,0.985965312,Female_Black,Black,Female
0.689437032,98.27947235,0.986956,Female_Black,Black,Female
0.509709775,97.68225098,0.884706855,Female_Black,Black,Female
0.77140075,98.97167206,0.986363411,Female_Black,Black,Female
0.751223505,98.67477417,0.979258299,Female_Black,Black,Female
0.763119578,85.87531281,0.993127227,Female_Black,Black,Female
0.570475698,86.0586319,0.903198659,Female_Black,Black,Female
0.658838928,93.95775604,0.99110806,Female_Black,Black,Female
0.747827411,99.05944824,0.977454424,Female_Black,Black,Female
0.665037155,98.80091095,0.994736552,Female_Black,Black,Female
0.776707351,97.71334076,0.99783802,Female_Black,Black,Female
0.716857135,97.1258316,0.990300655,Female_Black,Black,Female
0.807512283,94.01605988,0.998728395,Female_Black,Black,Female
0.5,76.83341217,0.998896718,Female_Black,Black,Female
0.5,93.56732178,0.5,Female_Black,Black,Female
0.627556205,98.24679565,0.976221681,Female_Black,Black,Female
0.528201997,98.30680084,0.935004473,Female_Black,Black,Female
0.649097681,98.78196716,0.88364321,Female_Black,Black,Female
0.837340832,98.22385406,0.995985448,Female_Black,Black,Female
0.5,91.91785431,0.924072266,Female_Black,Black,Female
0.770461798,99.15263367,0.997448981,Female_Black,Black,Female
0.695625842,94.42259216,0.998146057,Female_Black,Black,Female
0.720563173,94.38793945,0.975409031,Female_Black,Black,Female
0.807094336,99.04906464,0.998505354,Female_Black,Black,Female
0.5,95.38968658,0.931644022,Female_Black,Black,Female
0.5,50,0.5,Female_South Asian,South_Asian,Female
0.807464838,98.3181839,0.99378562,Female_South Asian,South_Asian,Female
0.506021023,50,0.5,Female_South Asian,South_Asian,Female
0.837907553,99.17147827,0.995935917,Female_South Asian,South_Asian,Female
0.71289736,97.09147644,0.99149847,Female_South Asian,South_Asian,Female
0.807557821,97.08035278,0.992799044,Female_South Asian,South_Asian,Female
0.5,72.35227966,0.867491484,Female_South Asian,South_Asian,Female
0.5,95.5166626,0.914573967,Female_South Asian,South_Asian,Female
0.5,98.73191071,0.5,Female_South Asian,South_Asian,Female
0.5,98.93875122,0.940301597,Female_South Asian,South_Asian,Female
0.722717106,97.58573151,0.995079458,Female_South Asian,South_Asian,Female
0.813685775,94.80416107,0.992743909,Female_South Asian,South_Asian,Female
0.534547746,98.80937958,0.956442952,Female_South Asian,South_Asian,Female
0.5,99.84833527,0.5,Female_South Asian,South_Asian,Female
0.727468371,98.0794754,0.996922493,Female_South Asian,South_Asian,Female
0.779281259,98.76644897,0.99894321,Female_South Asian,South_Asian,Female
0.860470414,99.16925812,0.995150566,Female_South Asian,South_Asian,Female
0.823298156,99.23474121,0.992754817,Female_South Asian,South_Asian,Female
0.736257136,89.7390976,0.995843709,Female_South Asian,South_Asian,Female
0.765007079,97.64413452,0.998834074,Female_South Asian,South_Asian,Female
0.81103301,98.77035522,0.998079956,Female_South Asian,South_Asian,Female
0.658956707,99.55737305,0.979110658,Female_South Asian,South_Asian,Female
0.5,91.42140198,0.5,Female_South Asian,South_Asian,Female
0.803474844,97.91477203,0.998458922,Female_South Asian,South_Asian,Female
0.835349321,94.99550629,0.999147415,Female_South Asian,South_Asian,Female
0.586942673,96.03916168,0.995075583,Female_South Asian,South_Asian,Female
0.5,96.14051819,0.929165125,Female_South Asian,South_Asian,Female
0.835671961,98.95772552,0.998227179,Female_South Asian,South_Asian,Female
0.825616419,97.15854645,0.995015502,Female_South Asian,South_Asian,Female
0.620479882,99.21495056,0.983824253,Female_South Asian,South_Asian,Female
0.56736654,64.49932098,0.5,Female_South Asian,South_Asian,Female
0.820384026,96.92068481,0.998096943,Female_South-East Asian,South_East_Asian,Female
0.700007021,92.03300476,0.993880033,Female_South-East Asian,South_East_Asian,Female
0.75445497,99.48048401,0.978925288,Female_South-East Asian,South_East_Asian,Female
0.703817785,98.68299866,0.991991758,Female_South-East Asian,South_East_Asian,Female
0.847770393,99.04392242,0.989472747,Female_South-East Asian,South_East_Asian,Female
0.737460792,94.22759247,0.954523563,Female_South-East Asian,South_East_Asian,Female
0.60361445,94.02783203,0.978631735,Female_South-East Asian,South_East_Asian,Female
0.871463239,89.15965271,0.979734421,Female_South-East Asian,South_East_Asian,Female
0.796790898,98.45024109,0.993124008,Female_South-East Asian,South_East_Asian,Female
0.840668619,96.44441223,0.911228299,Female_South-East Asian,South_East_Asian,Female
0.821094155,98.2481308,0.988692105,Female_South-East Asian,South_East_Asian,Female
0.636785984,99.31583405,0.5,Female_South-East Asian,South_East_Asian,Female
0.852912009,98.92288971,0.97117269,Female_South-East Asian,South_East_Asian,Female
0.809409797,76.39849091,0.960292041,Female_South-East Asian,South_East_Asian,Female
0.813544154,97.76621246,0.995536327,Female_South-East Asian,South_East_Asian,Female
